name,latin,style,syllables,score,pronounceability,memorability,thematic,uniqueness,ru,com,app
Светосфера,svetosfera,greek,4,99.56,83.43,97.66,yes,52.0,registered,registered,available
Духилия,dukhiliya,church,4,98.86,80.76,96.43,yes,68.0,available,available,available
Духодея,dukhodeya,greek,4,98.63,80.76,96.43,yes,66.67,available,available,available
Духолия,dukholiya,greek,4,98.63,80.76,96.43,yes,66.67,available,available,available
Гласосфера,glasosfera,slavic,4,98.46,83.43,97.66,yes,57.33,available,available,available
Благелия,blageliya,greek,4,98.33,86.47,99.63,yes,45.14,available,available,available
Благения,blageniya,greek,4,98.33,86.47,99.63,yes,45.14,available,available,available
Благиана,blagiana,slavic,4,98.33,86.47,95.31,yes,45.14,available,available,available
Гласелия,glaseliya,slavic,4,98.19,86.47,99.63,yes,45.14,available,available,available
Гласения,glaseniya,greek,4,98.19,86.47,99.63,yes,45.14,available,available,available
Веросфера,verosfera,church,4,97.73,78.76,96.33,yes,52.94,available,available,available
Словелия,sloveliya,slavic,4,97.69,86.47,99.63,yes,42.4,available,available,available
Словилия,sloviliya,church,4,97.69,86.47,99.63,yes,42.4,available,available,available
Слововия,slovoviya,greek,4,97.69,86.47,99.63,yes,42.4,available,available,available
Вестосфера,vestosfera,church,4,97.5,83.43,97.66,yes,52.0,available,available,available
Верелия,vereliya,church,4,97.1,80.76,92.11,yes,52.0,available,available,available
Верилия,veriliya,slavic,4,97.1,80.76,92.11,yes,52.0,available,registered,available
Светелия,sveteliya,greek,4,96.68,86.47,99.63,yes,36.0,available,available,available
Светения,sveteniya,greek,4,96.68,86.47,99.63,yes,36.0,available,available,available
Миросфера,mirosfera,church,4,96.56,78.76,96.33,yes,55.56,registered,available,available
Вестелия,vesteliya,church,4,96.54,86.47,99.63,yes,36.0,available,available,available
Вестения,vesteniya,slavic,4,96.54,86.47,99.63,yes,36.0,available,available,available
Ликилия,likiliya,church,4,95.88,80.76,92.11,yes,68.0,available,available,available
Мирелия,mireliya,slavic,4,95.46,80.76,92.11,yes,52.0,available,registered,available
Мирилия,miriliya,slavic,4,95.46,80.76,92.11,yes,52.0,available,available,available
Софидея,sofideya,slavic,4,95.06,80.76,92.11,yes,68.0,available,available,available
Софисфера,sofisfera,church,4,94.93,78.76,96.33,yes,64.71,available,available,available
Ликелия,likeliya,greek,4,94.89,80.76,92.11,yes,62.5,available,available,available
Ликения,likeniya,greek,4,93.96,80.76,92.11,yes,57.33,available,available,available
Софения,sofeniya,church,4,93.91,80.76,92.11,yes,61.6,available,available,available
Теосфера,teosfera,greek,4,93.82,86.47,95.31,yes,37.5,registered,available,available
Соборира,soborira,greek,4,92.51,72.76,87.88,yes,57.33,available,available,available
Соборора,soborora,slavic,4,92.51,72.76,87.88,yes,57.33,available,available,available
Акселия,akseliya,greek,4,92.38,88.76,89.38,yes,57.14,available,available,available
Аксения,akseniya,church,4,92.38,88.76,89.38,yes,57.14,registered,available,available
Аксония,aksoniya,slavic,4,92.38,88.76,89.38,yes,57.14,available,available,available
Млехежель,mlekhezhel,slavic,3,92.14,93.76,97.75,no,75.0,available,available,available
Кирисфера,kirisfera,slavic,4,91.64,78.76,96.33,yes,55.56,available,available,available
Блажожель,blazhozhel,slavic,3,91.5,93.76,97.75,no,71.43,available,available,available
Кирилия,kiriliya,church,4,91.5,80.76,92.11,yes,57.33,available,available,available
